Unit_ID,Call_No,AGENCY,CALL_TYPE_FINAL,OrigUnit,UNIT_enroute_DATE,PRIORITY,DISPOSITION,PRIMARY_UNIT,BEAT,REP_DIST,CALL_CREATED_TIME,CALL_ENTRY_DATE,CALL_ENTRY_TIME,UNIT_DISPATCH_DATE,UNIT_DISPATCH_TIME,UNIT_ENROUTE_TIME,UNIT_ONSCENE_DATE,UNIT_ONSCENE_TIME,TS_UNIT_TURNOUT,Call#,Call_No2,ArrivalStatus,RptCategory,TurnoutCompliance,BattalionName,Unit Type
BC004,S100000072,PCFR,68C01,BC004,2/9/26 0:00,C1,UTL,EN005,16,F560G,105656,2/9/26 0:00,105722,2/9/26 0:00,105941,110001,,,20,S100000072,S100000072,DNA,Fire,Met,Battalion 4,Battalion Chief
BC005,S100000073,PCFR,52,BC005,2/9/26 0:00,PA,COM,HCEN2,38,F38A,80254,2/9/26 0:00,80316,2/9/26 0:00,80416,80431,,,15,S100000073,S100000073,DNA,Fire,Met,Battalion 5,Battalion Chief
BC005,S100000074,PCFR,18C02,BC005,,C1,COM,MR037,46,F40B,102009,2/9/26 0:00,102208,2/9/26 0:00,102249,,,,,S100000074,S100000074,,EMS,Met,Battalion 5,Battalion Chief
BC006,S100000075,PCFR,60B03O,BC006,2/9/26 0:00,B1,COM,EN002,2,F02A,90007,2/9/26 0:00,90029,2/9/26 0:00,90100,90405,,,185,S100000075,S100000075,DNA,Fire,Missed,Battalion 6,Battalion Chief
BC007,S100000076,PCFR,82,BC007,2/9/26 0:00,PA,COM,SQ021,21,F930H,104949,2/9/26 0:00,105049,2/9/26 0:00,105130,105143,,,13,S100000076,S100000076,DNA,Fire,Met,Battalion 7,Battalion Chief
EN002,S100000077,PCFR,26A08,EN002,2/9/26 0:00,A1,COM,MR002,2,F02D,91447,2/9/26 0:00,91514,2/9/26 0:00,92055,92057,,,2,S100000077,S100000077,DNA,EMS,Met,Battalion 6,Engine
EN005,S100000078,PCFR,26C02,EN005,2/9/26 0:00,C1,,MR017,17,F17A,101623,2/9/26 0:00,101715,2/9/26 0:00,102126,102136,,,10,S100000078,S100000078,DNA,EMS,Met,Battalion 4,Engine
EN008,S100000079,PCFR,26A08,EN008,2/9/26 0:00,A1,COM,MR002,2,F02D,91447,2/9/26 0:00,91514,2/9/26 0:00,91556,91638,,,42,S100000079,S100000079,DNA,EMS,Met,Battalion 6,Engine
EN008,S100000080,PCFR,26A05,EN008,2/9/26 0:00,A1,,MD202,2,F02F,105906,2/9/26 0:00,105940,2/9/26 0:00,110013,110101,,,48,S100000080,S100000080,DNA,EMS,Met,Battalion 6,Engine
EN008,S100000081,PCFR,26O07,EN008,2/9/26 0:00,O1,,MR015,8,F02E,111221,2/9/26 0:00,111244,2/9/26 0:00,111306,111321,,,15,S100000081,S100000081,DNA,EMS,Met,Battalion 6,Engine
EN008,S100000082,PCFR,29,EN008,2/9/26 0:00,PA,COM,MR015,15,F15B,92923,2/9/26 0:00,93035,2/9/26 0:00,93156,93236,,,40,S100000082,S100000082,DNA,EMS,Met,Battalion 6,Engine
